IMG_URL,NAME,PAGE,PCA1,PCA2,TPSA,MW,Predictions,DESC,FORM
assets/2021-09-20/0.svg,Chemical Space 0,,5.927372726281534,-3.0173268163496205,63.6,180.16,0,Insert cool descriptions here if you want!,C9H8O4
assets/2021-09-20/1.svg,Chemical Space 1,,0.6829033324294158,-0.22749040799576548,43.37,231.04,3,Insert cool descriptions here if you want!,C8H7BrO3
assets/2021-09-20/2.svg,Chemical Space 2,,0.5720614779660843,-2.410152817712346,63.6,140.09,0,Insert cool descriptions here if you want!,C6H4O4
assets/2021-09-20/3.svg,Chemical Space 3,,-2.413331727751519,-0.4099465906137198,34.14,150.18,5,Insert cool descriptions here if you want!,C9H10O2
assets/2021-09-20/4.svg,Chemical Space 4,,-0.6515815043210555,0.1970212314763685,63.6,180.16,4,Insert cool descriptions here if you want!,C9H8O4
assets/2021-09-20/5.svg,Chemical Space 5,,-1.407907791672802,-1.1064819344174701,74.6,144.13,3,Insert cool descriptions here if you want!,C6H8O4
assets/2021-09-20/6.svg,Chemical Space 6,,-1.9372491723551224,-1.8389202744181523,85.19,185.13,3,Insert cool descriptions here if you want!,C7H7NO5
assets/2021-09-20/7.svg,Chemical Space 7,,-1.511140275692133,1.9641734908821455,78.62,197.19,4,Insert cool descriptions here if you want!,C9H11NO4
assets/2021-09-20/8.svg,Chemical Space 8,,-2.358607763385167,-1.465651071187718,78.62,185.18,7,Insert cool descriptions here if you want!,C8H11NO4
assets/2021-09-20/9.svg,Chemical Space 9,,-2.2647635826740213,2.0424440457528963,35.53,172.22,7,Insert cool descriptions here if you want!,C9H16O3
assets/2021-09-20/10.svg,Chemical Space 10,,5.227212327998905,-1.4428579839025415,46.53,166.18,8,Insert cool descriptions here if you want!,C9H10O3
assets/2021-09-20/11.svg,Chemical Space 11,,-2.17747024433614,-2.09535422814783,43.37,154.16,8,Insert cool descriptions here if you want!,C8H10O3
assets/2021-09-20/12.svg,Chemical Space 12,,4.264779560532613,-0.7087755861130067,59.0,197.19,1,Insert cool descriptions here if you want!,C9H11NO4
assets/2021-09-20/13.svg,Chemical Space 13,,-1.785419596670782,-0.13810804120093756,66.76,118.09,4,Insert cool descriptions here if you want!,C4H6O4
assets/2021-09-20/14.svg,Chemical Space 14,,4.838114960753373,-0.814981912370107,52.32,165.19,3,Insert cool descriptions here if you want!,C9H11NO2
assets/2021-09-20/15.svg,Chemical Space 15,,4.370293846112582,-0.985017647668063,82.06,212.16,4,Insert cool descriptions here if you want!,C9H8O6
